Name,Description,Website
Columbia University,"Columbia University, positioned at #23 in the QS World University Rankings, is located in the heart of New York City, epitomizing a city as degree of urbanization . As a private institution, Columbia offers a diverse and comprehensive range of academic disciplines. The university's academic landscape includes the Accounting Division, African American and African Diaspora Studies Department, Africana Studies, Anesthesiology Department, Anthropology, Anthropology Department, Applied Physics and Applied Mathematics Department, Architecture, Art History, Art History and Archaeology Department, Asian and Middle Eastern Cultures, Astronomy and Astrophysics Department, Biochemistry and Molecular Biophysics Department, Biological Sciences Department, Biomedical Engineering Department, Biomedical Informatics Department, Biostatistics Department, Cardiology Division, Chemical Engineering Department, Chemistry, Chemistry Department, Civil Engineering and Engineering Mechanics Department, Classics and Ancient Studies, Classics Department, Computer Science Department, Dance, Decision, Risk, and Operations Division, Dermatology Department, Digestive and Liver Diseases Division, Earth and Environmental Engineering Department, Earth and Environmental Sciences Department, East Asian Languages and Cultures Department, Ecology, Evolution and Environmental Biology Department, Economics, Economics Department, Electrical Engineering Department, Endocrinology Division, English and Comparative Literature Department, Environmental Health Sciences Department, Environmental Science, Epidemiology Department, Film, and Finance and Economics Division, French, French and Romance Philology Department. This array of academic offerings attracts a diverse and accomplished student body, contributing to Columbia's renowned status in higher education.",https://www.columbia.edu
Johns Hopkins University,"Johns Hopkins University, ranking #28 in the QS World University Rankings, is situated in Baltimore, Maryland, within the dynamic Northeast region. As a private institution in a city as a degree of urbanization, Johns Hopkins offers a diverse and robust array of academic disciplines. The university's academic landscape encompasses Biomedical Engineering, Neuroscience, Public Health, Molecular and Cellular Biology, Mechanical Engineering, Computer Science, International Studies, Economics, Applied Mathematics and Statistics, Political Science, Psychology, Environmental Engineering, History, English, Chemistry, Physics, Material Science and Engineering, Civil Engineering, Electrical Engineering, Chemical and Biomolecular Engineering, Philosophy, Sociology, Anthropology, Art History, Music, Theatre Arts, Writing Seminars, Classics, Cognitive Science, Earth and Planetary Sciences, Global Health Studies, Natural Sciences, Area Studies, International Relations, Business, and Education. This comprehensive range of offerings attracts a diverse and accomplished student body, contributing to Johns Hopkins' esteemed reputation in higher education.",https://www.jhu.edu
"University of California, Los Angeles (UCLA)","The University of California, Los Angeles (UCLA), holding the #29 spot in the QS World University Rankings, is situated in the city of Los Angeles, California, in the Far West region. As a public institution in an city, UCLA offers a diverse and expansive array of academic disciplines. The university's academic landscape includes African American Studies, Anthropology, Applied Mathematics, Art, Art History, Asian Languages and Cultures, Atmospheric and Oceanic Sciences, Biochemistry, Biology, Chemical Engineering, Chemistry, Civil Engineering, Classics, Communication, Comparative Literature, Computer Science, Dance, Design | Media Arts, Earth and Space Sciences, Economics, Electrical Engineering, English, Environmental Science, Ethnomusicology, Film and Television, French, Geography, Geology, History, International Development Studies, Linguistics, Materials Science and Engineering, Mathematics, Mechanical Engineering, Microbiology, Immunology, and Molecular Genetics, Molecular, Cell, and Developmental Biology, Music, Neuroscience, Nursing, Philosophy, Physics, Political Science, Psychology, Public Affairs, Public Health, Sociology, Spanish, Statistics, and Theater. This extensive range of academic offerings attracts a diverse and accomplished student body, contributing to UCLA's esteemed standing in higher education.",http://www.ucla.edu/
University of Michigan-Ann Arbor,"The University of Michigan-Ann Arbor, holding the #33 position in the QS World University Rankings, is located in Ann Arbor, Michigan, within the Midwest region of the United States. Operating as a public institution in a city setting, the university offers a diverse array of academic programs across various disciplines. Students at the University of Michigan-Ann Arbor engage in a comprehensive educational experience, pursuing degrees in Aerospace Engineering, Afroamerican and African Studies, Anthropology, Applied Mathematics, Art and Design, Biochemistry, Biology, Biomedical Engineering, Business Administration, Chemical Engineering, Chemistry, Civil Engineering, Classical Studies, Cognitive Science, Computer Science, Dance, Data Science, Dental Hygiene, Earth and Environmental Sciences, Economics, Electrical Engineering, English Language and Literature, Environment, Film, Television, and Media, Germanic Languages and Literatures, Global and International Studies, History, Industrial and Operations Engineering, Informatics, Kinesiology, Law, Linguistics, Materials Science and Engineering, Mathematics, Mechanical Engineering, Microbiology, Music, Theatre & Dance, Nursing, Philosophy, Physics, Political Science, Psychology, Public Health, Romance Languages and Literatures, Sociology, Statistics, and Women's Studies. This extensive range of academic offerings reflects the University of Michigan-Ann Arbor's commitment to providing students with a well-rounded education that spans the arts, sciences, and professional disciplines in the vibrant city environment of Ann Arbor.",http://www.umich.edu/
New York University (NYU),"New York University (NYU) holds the #38 position in the QS World University Rankings, showcasing its academic prowess on a global scale. Situated in the city of New York, NYU offers a diverse range of programs, reflecting its status as a private institution in the Northeast. With a GMAT score of 660, IELTS proficiency of 7, TOEFL score of 100, and a GPA of 3, the university maintains high standards for its applicants. NYU's urban campus provides a dynamic backdrop for academic pursuits in fields such as Accounting, Acting, Anthropology, Applied Psychology, Art History, Biochemistry, Biology, Business, Chemical Engineering, Chemistry, Child and Adolescent Mental Health Studies, Cinema Studies, Civil Engineering, Classics, Computer Engineering, Computer Science, Creative Writing, Data Science, Drama, Economics, Electrical Engineering, English, Environmental Science, Film and Television, Finance, French, Game Design, Global Liberal Studies, History, Integrated Digital Media, Interactive Media Arts, International Relations, Journalism, Linguistics, Management, Marketing, Mathematics, Mechanical Engineering, Music, Music Business, Neural Science, Nursing, Nutrition and Food Studies, Performance Studies, Philosophy, Physics, Political Science, Psychology, Public Health, Public Policy, Real Estate, Social Work, Sociology, Spanish, Statistics, Studio Art, and Urban Design and Architecture Studies. This extensive array of disciplines reflects NYU's commitment to providing a comprehensive and enriching educational experience for its students.",http://www.nyu.edu/
Northwestern University,"Ranked #47 in the QS World University Rankings, Northwestern University, located in Evanston, Illinois, stands as a prestigious private institution in the Midwest. Boasting a diverse academic landscape, Northwestern requires a GMAT score of 590, a GPA of 3, an IELTS proficiency of 7, and a TOEFL score of 100 for prospective students. The university's urbanization degree categorizes it as situated within a city environment. Northwestern offers an extensive range of programs encompassing African American Studies, Anthropology, Applied Mathematics, Art History, Art Theory and Practice, Asian Studies, Biochemistry, Biological Sciences, Biomedical Engineering, Chemical Engineering, Chemistry, Civil Engineering, Classics, Communication Studies, Comparative Literary Studies, Computer Engineering, Computer Science, Dance, Earth and Planetary Sciences, Economics, Electrical Engineering, English, Environmental Engineering, Environmental Sciences, French, Gender and Sexuality Studies, Geography, German, Global Health Studies, History, Industrial Engineering, Integrated Science Program, International Studies, Journalism, Legal Studies, Linguistics, Materials Science and Engineering, Mathematics, Mechanical Engineering, Music, Neuroscience, Performance Studies, Philosophy, Physics, Political Science, Psychology, Religious Studies, Slavic Languages and Literatures, Social Policy, Sociology, Spanish, Statistics, and Theatre. This comprehensive array of disciplines reflects Northwestern University's commitment to providing a well-rounded and enriching educational experience for its students.",http://www.northwestern.edu/
Carnegie Mellon University,"Carnegie Mellon University, situated in Pittsburgh, Pennsylvania, holds the 52nd position in the QS World University Rankings. As a private institution in the Northeast with a degree of urbanization classified as a city, Carnegie Mellon sets high academic standards, requiring a GPA of 3, an IELTS score of 7, and a TOEFL score of 88 for prospective students. The university offers a diverse array of programs across multiple disciplines, including Architecture, Art, Biological Sciences, Biomedical Engineering, Business Administration, Chemical Engineering, Chemistry, Civil Engineering, Cognitive Science, Computer Science, Design, Economics, Electrical and Computer Engineering, English, Entertainment Technology, Environmental Engineering, Global Studies, History, Human-Computer Interaction, Information Systems, Machine Learning, Materials Science and Engineering, Mathematical Sciences, Mechanical Engineering, Music, Philosophy, Physics, Psychology, Public Policy, Robotics, Social and Decision Sciences, Statistics, and Theater Arts. This extensive range of academic offerings underscores Carnegie Mellon's commitment to providing students with a comprehensive and innovative education in a city-centric environment.",http://www.cmu.edu/
Duke University,"Duke University, nestled in Durham, North Carolina, secures the #57 spot in the QS World University Rankings. As a private institution in the Southeast with a degree of urbanization characterized as a city, Duke sets rigorous academic standards, requiring a GRE score of 301, a GPA of 3, an IELTS score of 7, and a TOEFL score of 90 for prospective students. The university's academic landscape is rich and diverse, spanning disciplines such as African & African American Studies, Art History, Biology, Biomedical Engineering, Business Administration, Chemistry, Civil & Environmental Engineering, Classical Studies, Computer Science, Cultural Anthropology, Dance, Earth & Ocean Sciences, Economics, Electrical & Computer Engineering, English, Environmental Science & Policy, Evolutionary Anthropology, Gender, Sexuality & Feminist Studies, Global Health, History, International Comparative Studies, Linguistics, Mathematics, Mechanical Engineering, Music, Neuroscience, Nursing, Philosophy, Physics, Political Science, Psychology & Neuroscience, Public Policy, Religious Studies, Sociology, Statistical Science, Theater Studies, and Visual Arts. Duke University's commitment to offering a comprehensive and multidisciplinary education is evident in its broad spectrum of academic programs within the vibrant backdrop of a city environment.",http://www.duke.edu/
University of Texas at Austin,"The University of Texas at Austin, positioned at #58 in the QS World University Rankings, is a prominent public institution in the Southwest. Situated in the bustling city of Austin, Texas, the university maintains a high academic standard, requiring a GPA of 3, an IELTS score of 6, and a TOEFL score of 79 for prospective students. With a diverse degree of urbanization categorized as a city, the university offers a wide array of programs across various disciplines, including Accounting, Aerospace Engineering, African and African Diaspora Studies, American Studies, Anthropology, Applied Learning and Development, Architecture, Art History, Asian Cultures and Languages, Astronomy, Biochemistry, Biomedical Engineering, Business Administration, Chemical Engineering, Chemistry, Civil Engineering, Classical Languages, Computer Science, Economics, Electrical and Computer Engineering, English, Environmental Science, European Studies, Finance, French, Geography, Geological Sciences, German, Government, History, Human Development and Family Sciences, Information, Interior Design, International Relations and Global Studies, Italian, Journalism, Kinesiology and Health Education, Latin American Studies, Linguistics, Management, Marketing, Mathematics, Mechanical Engineering, Mexican American and Latina/o Studies, Music, Neuroscience, Nursing, Nutritional Sciences, Petroleum Engineering, Pharmacy, Philosophy, Physics, Psychology, Public Health, Religious Studies, Rhetoric and Writing, Social Work, Sociology, Spanish, Studio Art, Theatre and Dance, and Women's and Gender Studies. The University of Texas at Austin's commitment to providing a comprehensive and diverse educational experience is evident in its broad spectrum of academic offerings within the vibrant context of a city environment.",http://www.utexas.edu/
University of California (UCSD),"The University of California, San Diego, stands at the #62 position in the QS World University Rankings, representing a distinguished public institution in the Far West. Located in California, UCSD is situated in the vibrant city of San Diego with a degree of urbanization categorized as a city. The university maintains high academic standards, requiring a GMAT score of 668, a GPA of 3, an IELTS score of 7, and a TOEFL score of 85 for prospective students. UCSD offers a comprehensive range of programs across diverse disciplines, including Anthropology, Biochemistry and Cell Biology, Bioengineering, Biological Sciences, Chemistry, Cognitive Science, Computer Science, Computer Engineering, Data Science, Earth Sciences, Economics, Electrical and Computer Engineering, Environmental Systems, Ethnic Studies, History, Human Developmental Sciences, International Studies, Linguistics, Literature, Management Science, Marine Biology, Mathematics, Mechanical and Aerospace Engineering, Molecular Biology, Music, NanoEngineering, Neuroscience, Philosophy, Physics, Political Science, Psychology, Public Health, Sociology, Theatre and Dance, Urban Studies and Planning, and Visual Arts. The university's commitment to academic excellence and diversity is evident in its broad spectrum of offerings, providing students with a dynamic and enriching educational experience within the city environment of San Diego.",http://www.ucsd.edu/
